tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
Keegan-Tag,Keegan,Felis catus,2017-09-24 01:03:02.000,2017-09-30 14:41:30.000,Hunt: Yes; prey_p_month: 3,3 years,Not fixed,m,collar,@Trip PC,removal,Keegan,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Maggie-Tag,Maggie,Felis catus,2017-09-25 01:03:24.000,2017-10-02 17:22:57.000,Hunt: Unsure; prey_p_month: 0,3 years,Spayed,f,collar,@Trip PC,removal,Maggie,3-min fixes,"hrs_indoors: 22.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lily-Tag,Lily,Felis catus,2017-09-25 01:03:54.000,2017-10-02 14:57:31.000,Hunt: Unsure; prey_p_month: 0,9 years,Spayed,f,collar,@Trip PC,removal,Lily,3-min fixes,"hrs_indoors: 22.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Abba-Tag,Abba,Felis catus,2017-09-25 01:19:26.000,2017-10-02 11:04:58.000,Hunt: Yes; prey_p_month: 3,3 years,Spayed,f,collar,@Trip PC,removal,Abba,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Worf-Tag,Worf,Felis catus,2017-09-25 01:20:25.000,2017-09-30 13:12:47.000,Hunt: Yes; prey_p_month: 7.5,8 years,Spayed,f,collar,@Trip PC,removal,Worf,3-min fixes,"hrs_indoors: 2.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Pants-Tag,Pants,Felis catus,2017-09-28 01:02:00.000,2017-10-03 10:45:33.000,Hunt: Unsure; prey_p_month: 0,8 years,Neutered,m,collar,@Trip PC,removal,Pants,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jim-Tag,Jim,Felis catus,2017-09-28 01:02:04.000,2017-10-04 13:42:17.000,Hunt: Yes; prey_p_month: 3,8 years,Spayed,f,collar,@Trip PC,removal,Jim,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lucy-Tag,Lucy,Felis catus,2017-09-29 00:01:13.000,2017-10-06 00:44:55.000,Hunt: Yes; prey_p_month: 0.5,5 years,Spayed,f,collar,@Trip PC,removal,Lucy,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Macaulay Mccat-Tag,Macaulay Mccat,Felis catus,2017-09-29 07:01:28.000,2017-10-26 16:51:39.000,Hunt: Yes; prey_p_month: 17.5,6 years,Spayed,f,collar,@Trip PC,removal,MacaulayMccat,3-min fixes,"hrs_indoors: 2.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Neil-Tag,Neil,Felis catus,2017-09-30 04:28:02.000,2017-10-07 00:04:54.000,Hunt: Unsure; prey_p_month: 0,7 years,Neutered,m,collar,@Trip PC,removal,Neil,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
